tconst,genres
tt0082272,Terror
tt0082272,Ciencia Ficción
tt0082273,Terror
tt0082278,Terror
tt0082278,Mystery
tt0082279,Terror
tt0082279,Mystery
tt0082279,Thriller
tt0082288,Acción
tt0082288,Adventure
tt0082288,Fantasía
tt0082299,Acción
tt0082299,Mystery
tt0082307,Terror
tt0082308,Comedy
tt0082308,Family
tt0082308,Ciencia Ficción
tt0082319,Comedy
tt0082319,Fantasía
tt0082323,Adventure
tt0082323,Family
tt0082323,Fantasía
tt0082328,Terror
tt0082332,Acción
tt0082332,Crime
tt0082332,Drama
tt0082334,Drama
tt0082334,Terror
tt0082338,Acción
tt0082338,Drama
tt0082338,Terror
tt0082340,Acción
tt0082340,Adventure
tt0082340,Ciencia Ficción
tt0082346,Terror
tt0082348,Adventure
tt0082348,Drama
tt0082348,Fantasía
tt0082350,Acción
tt0082350,Adventure
tt0082350,Crime
tt0082352,Terror
tt0082352,Thriller
tt0082356,Acción
tt0082356,Biography
tt0082356,Drama
tt0082361,Drama
tt0082361,Terror
tt0082361,Music
tt0082362,Drama
tt0082362,Terror
tt0082362,Thriller
tt0082364,Drama
tt0082364,Terror
tt0082364,Mystery
tt0082367,Terror
tt0082377,Terror
tt0082378,Terror
tt0082378,Thriller
tt0082379,Terror
tt0082381,Acción
tt0082381,Romance
tt0082381,Ciencia Ficción
tt0082398,Acción
tt0082398,Adventure
tt0082398,Thriller
tt0082399,Acción
tt0082399,Adventure
tt0082399,Drama
tt0082406,Adventure
tt0082406,Animación
tt0082406,Drama
tt0082410,Terror
tt0082410,Ciencia Ficción
tt0082411,Acción
tt0082411,Thriller
tt0082414,Comedy
tt0082414,Fantasía
tt0082418,Terror
tt0082418,Mystery
tt0082418,Thriller
tt0082425,Comedy
tt0082425,Fantasía
tt0082425,Terror
tt0082427,Terror
tt0082431,Acción
tt0082431,Adventure
tt0082431,Terror
tt0082432,Adventure
tt0082432,Drama
tt0082432,History
tt0082449,Drama
tt0082449,Terror
tt0082449,Thriller
tt0082451,Acción
tt0082451,Crime
tt0082451,Drama
tt0082464,Acción
tt0082464,Adventure
tt0082464,Comedy
tt0082466,Comedy
tt0082466,Fantasía
tt0082466,Terror
tt0082467,Terror
tt0082467,Mystery
tt0082467,Thriller
tt0082474,Adventure
tt0082474,Comedy
tt0082474,Crime
tt0082476,Adventure
tt0082476,Comedy
tt0082476,Crime
tt0082478,Adventure
tt0082478,Animación
tt0082478,Comedy
tt0082479,Terror
tt0082481,Crime
